,username,wafer_num,pos,cap_diam,cap_ind,flags,-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
40,Wafer5_mid_100d_p1,5,CENTER,100.0,1,,6.405300613068291e-08,6.408476712990747e-08,5.980913358676437e-08,6.269269213948675e-08,6.165496666604426e-08,5.8994176728749166e-08,5.986001677362244e-08,5.902163884711834e-08,5.895823830955688e-08,5.703024806727881e-08,5.486206175317797e-08,5.5875152983366346e-08,5.3775934377084434e-08,5.305416256412937e-08,5.273559255614231e-08,5.467753492553014e-08,5.257070735813836e-08,4.9136881624088605e-08,4.952628542935312e-08,5.2039698929986e-08,5.068430752756627e-08
41,Wafer5_mid_100d_p2_d,5,CENTER,100.0,2,d,3.542869389914609e-08,3.757173140686951e-08,3.4875056101485834e-08,3.572684658648102e-08,3.306338147728154e-08,3.338776920671262e-08,3.099977250929818e-08,3.1756594280370083e-08,2.7812800027077203e-08,2.6247421009070497e-08,2.8956357776678426e-08,2.788255259209152e-08,2.7068845726506782e-08,2.5534277794930264e-08,2.8760390528115774e-08,2.5282505727572668e-08,2.379053107925612e-08,2.6598557039401044e-08,2.665153174437007e-08,2.9172425831876366e-08,2.615126321730563e-08
43,Wafer5_mid_100d_p3,5,CENTER,100.0,3,,6.103482407882257e-08,6.204888959052446e-08,5.811291415323036e-08,5.97699909098668e-08,5.732809428146638e-08,5.684397032404784e-08,5.551544453428669e-08,5.638948039292091e-08,5.528137250353677e-08,5.5476125176643146e-08,5.531305528011757e-08,5.2156333068062596e-08,5.293518395671272e-08,5.122191868108489e-08,5.188007158130519e-08,5.2501467685548255e-08,5.126711061613718e-08,5.034329229705805e-08,4.9929057047144906e-08,4.824480366632671e-08,4.8543077045595394e-08
44,Wafer5_mid_100d_p4_d,5,CENTER,100.0,4,d,3.419929414554498e-08,3.400271414277783e-08,3.1848347614087885e-08,3.664604902042492e-08,3.4831847876549105e-08,3.30891550084288e-08,3.550416845765971e-08,3.4203097245079494e-08,3.058022037629805e-08,3.2620544048952607e-08,2.9539990401394926e-08,2.860649466964496e-08,2.9261505548396144e-08,3.054701798282375e-08,3.005856151955722e-08,2.9803512358271005e-08,3.20795722457199e-08,3.186754115514438e-08,3.1878952528143e-08,2.959274342345411e-08,2.960657029756302e-08
45,Wafer5_mid_100d_p5,5,CENTER,100.0,5,,5.607842968811227e-08,5.811636727784567e-08,5.804499824025939e-08,5.824207346080945e-08,5.588594970704464e-08,5.559190400817346e-08,5.289517425918046e-08,5.349692576633898e-08,5.27978062484956e-08,5.350915238799663e-08,4.989014870248269e-08,5.391769779213371e-08,5.368191851542894e-08,4.972195947363366e-08,4.647888308341094e-08,4.983271101717244e-08,4.917436390925093e-08,4.7386980425872535e-08,4.557657410012735e-08,4.679342214401819e-08,4.6961330701935276e-08
46,Wafer5_mid_100d_p6_d,5,CENTER,100.0,6,d,4.475847714034663e-08,4.103088347222839e-08,3.8849620091936266e-08,3.649115472335362e-08,3.6570816588870134e-08,3.869477495731291e-08,3.450966307711792e-08,3.4424042850586884e-08,3.527998968982799e-08,3.375875210750251e-08,3.5193041989979564e-08,3.4835174241305436e-08,3.1965135680301766e-08,3.286558742246319e-08,3.4904093424389e-08,3.3330714046004825e-08,3.077579052720921e-08,3.1392305507492454e-08,3.28461827355826e-08,3.3884313747000644e-08,3.537715225542263e-08
47,Wafer5_mid_100d_p7_d,5,CENTER,100.0,7,d,3.33364500330618e-08,3.642865570600067e-08,3.2873237642832314e-08,3.174538776785522e-08,2.932488777926762e-08,2.9366784591100815e-08,2.8095660029451312e-08,2.823651548244909e-08,2.6283999758462082e-08,2.7839533077163457e-08,2.8040320530584076e-08,2.404311273913171e-08,2.8590018419161992e-08,2.693796410699648e-08,2.5041917134806812e-08,2.5419507552976847e-08,2.7051142583801343e-08,2.7110960401947025e-08,2.8544310216812648e-08,2.6261266674970494e-08,2.5552431883416653e-08
568,Wafer6_B_100_p1,6,BOTTOM,100.0,1,,1.5030680096641854e-06,1.4906210550041712e-06,1.4725947077745376e-06,1.4705115352866355e-06,1.4942965272988868e-06,1.4972565619629347e-06,1.4888600451209862e-06,1.4884770054715798e-06,1.4916691886930499e-06,1.4786992594312728e-06,1.4703432585835108e-06,1.47563311693511e-06,1.5053281861426693e-06,1.4890377483766904e-06,1.4884536206951059e-06,1.4859678568330646e-06,1.4898897213188876e-06,1.4956911521530764e-06,1.50829097591078e-06,1.4822160361799684e-06,1.4879881846839983e-06
322,Wafer6_M_100d_p1,6,CENTER,100.0,1,,4.1733061078916257e-08,3.859040265665384e-08,3.568075133291039e-08,3.59457894402275e-08,3.622579829983832e-08,3.600628700487203e-08,3.6290366804098005e-08,3.5454637171282234e-08,3.379170100445395e-08,3.2961739413091616e-08,3.296058363992105e-08,3.423675092507648e-08,3.570689047071195e-08,3.07597589796425e-08,3.285807597068232e-08,3.0999363547403895e-08,3.2111993127837764e-08,2.888188937519985e-08,2.9204296547283902e-08,2.652943121441238e-08,2.847084799000017e-08
441,Wafer6_R_100d_p1_d,6,RIGHT,100.0,1,d,3.145225682007197e-08,2.8955982489867673e-08,3.1762068043246014e-08,3.101344048675794e-08,2.722579515647038e-08,2.9000192511929154e-08,2.9976283248796953e-08,2.785980051895122e-08,2.6843505520997158e-08,2.3798451435751723e-08,2.5213491428565064e-08,2.386788307056873e-08,2.304802668187889e-08,2.293832946670674e-08,2.4946919470210888e-08,2.3269205808119913e-08,2.1010173733539347e-08,2.436837754987805e-08,2.3055851891345592e-08,2.4984119793440447e-08,2.7583836296387917e-08
