,username,wafer_num,pos,cap_diam,cap_ind,flags
512,Wafer6_L_300d_p1_d,6,LEFT,300.0,1,d
513,Wafer6_L_300d_p2,6,LEFT,300.0,2,
531,Wafer6_L_600_p1,6,LEFT,600.0,1,
539,Wafer6_L_700d_p1,6,LEFT,700.0,1,
540,Wafer6_L_700_p2,6,LEFT,700.0,2,
541,Wafer6_L_700_p3,6,LEFT,700.0,3,
543,Wafer6_L_700_p4,6,LEFT,700.0,4,
548,Wafer6_L_800_p1,6,LEFT,800.0,1,
550,Wafer6_L_800_p2,6,LEFT,800.0,2,
555,Wafer6_L_1000_p1,6,LEFT,1000.0,1,
558,Wafer6_L_1000_p2,6,LEFT,1000.0,2,
441,Wafer6_R_100d_p1_d,6,RIGHT,100.0,1,d
442,Wafer6_R_100d_p2,6,RIGHT,100.0,2,
444,Wafer6_R_100d_p3,6,RIGHT,100.0,3,
447,Wafer6_R_100d_p4,6,RIGHT,100.0,4,
434,Wafer6_R_200d_p1_d,6,RIGHT,200.0,1,d
435,Wafer6_R_200d_p2,6,RIGHT,200.0,2,
436,Wafer6_R_200d_p3,6,RIGHT,200.0,3,
437,Wafer6_R_200d_p4,6,RIGHT,200.0,4,
428,Wafer6_R_300d_p1_d,6,RIGHT,300.0,1,d
423,Wafer6_R_400d_p1,6,RIGHT,400.0,1,
425,Wafer6_R_400d_p2,6,RIGHT,400.0,2,
417,Wafer6_R_500d_p1_d,6,RIGHT,500.0,1,d
418,Wafer6_R_500d_p2,6,RIGHT,500.0,2,
420,Wafer6_R_500d_p3,6,RIGHT,500.0,3,
403,Wafer6_R_700d_p1,6,RIGHT,700.0,1,
405,Wafer6_R_700d_p2,6,RIGHT,700.0,2,
398,Wafer6_R_800d_p1_d,6,RIGHT,800.0,1,d
399,Wafer6_R_800d_p2,6,RIGHT,800.0,2,
401,Wafer6_R_800d_p3,6,RIGHT,800.0,3,
386,Wafer6_R_1000d_p1,6,RIGHT,1000.0,1,
499,Wafer6_T_100d_p1,6,TOP,100.0,1,
500,Wafer6_T_100d_p2,6,TOP,100.0,2,
501,Wafer6_T_100d_p3,6,TOP,100.0,3,
